Run ID,Player ID,Role,Start Bankroll,Final Balance,Net Profit
23,6,Basic,100000,99980,-20
24,1,Counter,100000,100050,50
24,2,Basic,100000,100020,20
24,3,Basic,100000,100035.0,35.0
24,4,Basic,100000,100015.0,15.0
24,5,Basic,100000,100065.0,65.0
24,6,Basic,100000,100000.0,0.0
25,1,Counter,100000,99955.0,-45.0
25,2,Basic,100000,100015.0,15.0
25,3,Basic,100000,100005.0,5.0
25,4,Basic,100000,99965.0,-35.0
25,5,Basic,100000,99990,-10
25,6,Basic,100000,100000,0
