Run ID,Ruleset,Shoe ID,Rounds,Counter Net,Basic Net,Max Bet Opportunities,Max Bets Placed,TC-4 Freq,TC-4 Wins,TC-4 Losses,TC-4 WinRate,TC-3 Freq,TC-3 Wins,TC-3 Losses,TC-3 WinRate,TC-2 Freq,TC-2 Wins,TC-2 Losses,TC-2 WinRate,TC-1 Freq,TC-1 Wins,TC-1 Losses,TC-1 WinRate,TC+0 Freq,TC+0 Wins,TC+0 Losses,TC+0 WinRate,TC+1 Freq,TC+1 Wins,TC+1 Losses,TC+1 WinRate,TC+2 Freq,TC+2 Wins,TC+2 Losses,TC+2 WinRate,TC+3 Freq,TC+3 Wins,TC+3 Losses,TC+3 WinRate,TC+4 Freq,TC+4 Wins,TC+4 Losses,TC+4 WinRate
1,FullHiLoRules,8447,16,0.0,8.75,0,0,0,0,0,,1,0,0,,3,0,0,,5,0,0,,5,0,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8448,15,0.0,7.5,0,0,7,0,0,,4,0,0,,2,0,0,,1,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8449,14,0.0,-5.0,2,0,0,0,0,,0,0,0,,1,0,0,,3,0,0,,3,0,0,,1,0,0,,2,0,0,,2,0,0,,2,0,0,
1,FullHiLoRules,8450,15,0.0,-7.5,0,0,0,0,0,,0,0,0,,0,0,0,,2,0,0,,7,0,0,,3,0,0,,1,0,0,,2,0,0,,0,0,0,
1,FullHiLoRules,8451,15,0.0,1.25,0,0,1,0,0,,1,0,0,,2,0,0,,1,0,0,,3,0,0,,4,0,0,,3,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8452,15,0.0,-27.5,0,0,0,0,0,,0,0,0,,0,0,0,,1,0,0,,7,0,0,,7,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8453,15,0.0,68.75,3,0,0,0,0,,0,0,0,,0,0,0,,2,0,0,,2,0,0,,2,0,0,,4,0,0,,2,0,0,,3,0,0,
1,FullHiLoRules,8454,15,0.0,-27.5,0,0,9,0,0,,1,0,0,,2,0,0,,2,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8455,15,0.0,23.75,0,0,3,0,0,,0,0,0,,2,0,0,,2,0,0,,5,0,0,,2,0,0,,1,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,8456,15,0.0,62.5,0,0,1,0,0,,3,0,0,,2,0,0,,4,0,0,,4,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,
